Rank,Crypto_Name,Crypto_Symbol,Crypto_MarketCap,Crypto_Price,Crypto_CirculatingSupply
339,MVL,MVL,"$143,639,146.75",$0.01078,"13,323,902,398 MVL *"
340,TrueFi,TRU,"$143,963,099.40",$0.2622,"548,956,194 TRU *"
341,USDX [Kava],USDX,"$144,110,632.43",$0.9652,"149,304,833 USDX *"
342,RSK Infrastructure Framework,RIF,"$144,024,972.28",$0.176,"818,473,340 RIF *"
343,Mirror Protocol,MIR,"$143,811,713.28",$1.85,"77,742,680 MIR *"
344,Voxies,VOXEL,"$143,711,538.70",$2.59,"55,592,879 VOXEL *"
345,Hyperion,HYN,"$142,709,345.24",$0.7003,"203,783,085 HYN *"
346,SOMESING,SSX,"$143,157,384.02",$0.05453,"2,625,109,664 SSX *"
347,Telos,TLOS,"$142,954,500.06",$0.5292,"270,123,444 TLOS *"
348,Decentral Games [Old],DG,"$141,726,133.55",$408.79,"346,695 DG *"
349,API3,API3,"$141,703,454.13",$3.84,"36,907,810 API3 *"
350,TomoChain,TOMO,"$138,584,787.11",$1.59,"87,349,788 TOMO *"
351,DeFi Pulse Index,DPI,"$138,766,069.59",$248.25,"558,983 DPI *"
352,Efinity Token,EFI,"$138,768,046.14",$0.817,"169,857,481 EFI *"
353,Electroneum,ETN,"$137,999,621.13",$0.007705,"17,910,599,377 ETN"
354,Aavegotchi,GHST,"$137,515,423.88",$2.13,"64,675,732 GHST *"
355,IDEX,IDEX,"$136,467,004.78",$0.2182,"625,334,535 IDEX *"
356,Ergo,ERG,"$136,416,062.92",$4.26,"32,012,428 ERG"
357,Presearch,PRE,"$135,301,358.72",$0.3412,"396,578,435 PRE *"
358,Enzyme,MLN,"$135,742,501.64",$75.72,"1,792,693 MLN *"
359,XeniosCoin,XNC,"$134,323,351.62",$1.76,"76,274,958 XNC *"
360,Proton,XPR,"$133,939,018.45",$0.01544,"8,677,059,129 XPR *"
361,Biswap,BSW,"$133,164,726.62",$0.8236,"161,678,390 BSW *"
362,Syntropy,NOIA,"$133,212,174.22",$0.2604,"511,532,560 NOIA *"
363,Aleph.im,ALEPH,"$132,514,128.65",$0.7191,"184,266,831 ALEPH"
364,Rakon,RKN,"$129,558,709.08",$0.5335,"242,857,143 RKN *"
365,Balancer,BAL,"$129,442,327.25",$18.64,"6,943,831 BAL *"
366,Standard Tokenization Protocol,STPT,"$129,292,733.49",$0.09803,"1,318,893,221 STPT *"
367,Centrifuge,CFG,"$129,075,527.45",$0.8283,"155,834,502 CFG *"
368,Sport and Leisure,SNL,"$128,207,449.97",$0.1889,"678,662,953 SNL *"
369,Handshake,HNS,"$126,658,181.70",$0.278,"455,548,397 HNS *"
370,Metal,MTL,"$126,280,136.57",$1.90,"66,588,888 MTL *"
371,TitanSwap,TITAN,"$124,054,111.81",$2.32,"53,404,160 TITAN *"
372,Uquid Coin,UQC,"$125,719,714.15",$12.57,"10,000,000 UQC *"
373,Clover Finance,CLV,"$124,050,068.49",$0.5877,"211,071,790 CLV *"
374,sUSD,SUSD,"$123,324,608.97",$1.00,"123,309,883 SUSD *"
375,ABBC Coin,ABBC,"$122,912,677.41",$0.1316,"934,295,115 ABBC *"
376,LCX,LCX,"$121,323,558.97",$0.1633,"743,109,241 LCX *"
377,STAKE,STAKE,"$123,198,509.60",$15.55,"7,924,418 STAKE *"
378,QuarkChain,QKC,"$120,342,049.02",$0.0188,"6,399,906,497 QKC *"
379,Centrality,CENNZ,"$120,707,296.39",$0.1006,"1,200,000,000 CENNZ *"
380,Beta Finance,BETA,"$120,785,561.73",$0.4721,"255,833,333 BETA *"
381,AllianceBlock,ALBT,"$119,602,443.25",$0.5134,"232,955,783 ALBT *"
382,Verasity,VRA,"$120,138,825.10",$0.02688,"4,470,185,346 VRA *"
383,Aurory,AURY,"$119,982,982.45",$12.50,"9,600,000 AURY *"
384,ScPrime,SCP,"$119,715,078.34",$2.98,"40,162,515 SCP"
385,Cyclub,CYCLUB,"$117,764,140.23",$0.08961,"1,314,140,616 CYCLUB *"
386,SafePal,SFP,"$119,021,466.28",$1.10,"108,166,667 SFP *"
387,Ellipsis,EPS,"$118,059,229.07",$0.2182,"541,132,420 EPS *"
388,FUNToken,FUN,"$117,651,044.67",$0.01071,"10,989,122,591 FUN *"
389,Zelwin,ZLW,"$117,173,768.37",$1.62,"72,331,834 ZLW *"
390,Bonfida,FIDA,"$116,319,202.82",$2.60,"44,729,964 FIDA *"
391,Toko Token,TKO,"$115,632,123.11",$1.07,"108,500,000 TKO *"
392,Linear,LINA,"$115,619,302.54",$0.03569,"3,239,692,653 LINA *"
393,BSCPAD,BSCPAD,"$113,269,980.65",$1.43,"79,211,621 BSCPAD *"
394,Swarm,BZZ,"$113,140,832.70",$2.24,"50,595,016 BZZ *"
395,TrustSwap,SWAP,"$112,972,171.28",$1.16,"97,555,165 SWAP *"
396,STASIS EURO,EURS,"$112,305,765.42",$1.13,"99,125,940 EURS *"
397,PEAKDEFI,PEAK,"$111,699,529.63",$0.1004,"1,112,864,112 PEAK *"
398,ZB Token,ZB,"$111,702,222.69",$0.2411,"463,288,810 ZB *"
399,Everipedia,IQ,"$110,490,988.62",$0.01103,"10,021,449,082 IQ *"
400,DeRace,DERC,"$110,851,757.45",$2.85,"38,850,000 DERC *"
401,Deeper Network,DPR,"$112,877,219.70",$0.1089,"1,036,755,621 DPR *"
402,Strike,STRK,"$109,562,708.73",$35.53,"3,083,715 STRK *"
403,Wanchain,WAN,"$109,750,697.77",$0.5695,"192,701,891 WAN *"
404,Ampleforth,AMPL,"$108,917,837.94",$0.7293,"149,338,190 AMPL *"
405,Terra Virtua Kolect,TVK,"$106,818,008.82",$0.1614,"662,004,118 TVK *"
406,Ethernity Chain,ERN,"$107,146,501.22",$8.28,"12,937,594 ERN *"
407,Decentral Games,DG,"$105,884,087.44",$0.4228,"250,409,872 DG *"
408,dKargo,DKA,"$104,140,905.68",$0.1023,"1,017,709,366 DKA *"
409,IRISnet,IRIS,"$105,241,244.17",$0.08826,"1,192,363,874 IRIS *"
410,DEAPcoin,DEP,"$104,874,324.50",$0.02898,"3,618,330,711 DEP *"
411,AIOZ Network,AIOZ,"$104,514,855.06",$0.3113,"335,734,038 AIOZ *"
412,GameFi,GAFI,"$104,380,648.08",$104.58,"998,099 GAFI *"
413,RSK Smart Bitcoin,RBTC,"$104,097,363.92","$41,736.00","2,494 RBTC"
414,RichQUACK.com,QUACK,"$103,174,367.19",$0.00000000234,"44,085,961,274,152,300 QUACK *"
415,LGCY Network,LGCY,"$104,611,654.19",$0.008228,"12,713,925,827 LGCY *"
416,Dero,DERO,"$101,913,618.92",$9.17,"11,112,822 DERO"
417,Celo Dollar,CUSD,"$102,332,365.64",$0.9972,"102,617,299 CUSD *"
418,Adventure Gold,AGLD,"$102,129,524.64",$1.46,"70,170,001 AGLD *"
419,Somnium Space Cubes,CUBE,"$101,439,654.85",$8.12,"12,500,000 CUBE *"
420,Venus USDC,vUSDC,"$101,495,904.57",$0.02127,"4,771,015,133 vUSDC *"
421,Klever,KLV,"$101,397,000.72",$0.02984,"3,397,615,776 KLV *"
422,Samoyedcoin,SAMO,"$101,137,946.38",$0.03158,"3,202,946,644 SAMO *"
423,CUDOS,CUDOS,"$100,431,950.24",$0.03894,"2,579,143,954 CUDOS *"
424,Tranchess,CHESS,"$100,736,507.84",$1.80,"56,037,260 CHESS *"
425,DerivaDAO,DDX,"$98,798,201.92",$3.79,"26,094,664 DDX *"
426,Phala Network,PHA,"$98,012,441.80",$0.3603,"272,000,000 PHA *"
427,DFI.Money,YFII,"$97,482,700.65","$2,525.72","38,596 YFII *"
428,RFOX,RFOX,"$96,953,459.54",$0.0739,"1,312,000,760 RFOX *"
429,Kin,KIN,"$96,453,196.11",$0.00005759,"1,674,719,751,225 KIN *"
430,DeFine,DFA,"$96,583,781.51",$1.72,"56,181,518 DFA *"
431,Solanium,SLIM,"$96,005,940.96",$1.67,"57,500,000 SLIM *"
432,Vega Protocol,VEGA,"$95,915,879.53",$10.54,"9,102,267 VEGA *"
433,Automata Network,ATA,"$95,668,012.87",$0.5554,"172,252,000 ATA *"
434,LTO Network,LTO,"$95,145,278.95",$0.3201,"297,204,052 LTO *"
435,Harvest Finance,FARM,"$94,890,434.15",$142.70,"664,954 FARM *"
436,BitShares,BTS,"$94,102,067.19",$0.03142,"2,994,650,000 BTS *"
437,Cratos,CRTS,"$93,461,083.27",$0.005138,"18,191,189,321 CRTS *"
438,ARPA Chain,ARPA,"$93,549,489.10",$0.08322,"1,124,168,018 ARPA *"
439,Propy,PRO,"$92,881,552.72",$1.26,"73,851,416 PRO *"
440,Chainbing,CBG,"$92,584,022.50",$2.81,"33,000,000 CBG *"
441,QuickSwap,QUICK,"$91,332,294.07",$279.22,"327,100 QUICK *"
442,BabySwap,BABY,"$91,555,535.97",$0.6583,"139,072,080 BABY *"
443,ankrETH,aEth,"$91,117,949.74","$3,106.65","29,330 aEth *"
444,VVS Finance,VVS,"$91,187,182.72",$0.00003982,"2,290,100,781,801 VVS *"
445,Zenon,ZNN,"$90,397,976.66",$14.28,"6,330,750 ZNN"
446,Star Atlas DAO,POLIS,"$88,731,929.73",$4.11,"21,600,000 POLIS *"
447,Wrapped NXM,WNXM,"$88,471,578.08",$52.76,"1,676,964 WNXM *"
448,Beefy Finance,BIFI,"$87,997,856.80","$1,222.19","72,000 BIFI *"
449,Alpha Quark Token,AQT,"$88,162,851.18",$3.39,"26,028,706 AQT *"
450,Gods Unchained,GODS,"$87,019,075.76",$3.68,"23,660,714 GODS *"
451,WHALE,WHALE,"$85,667,237.99",$11.73,"7,303,276 WHALE *"
452,XMON,XMON,"$85,335,562.66","$57,083.78","1,495 XMON *"
453,MimbleWimbleCoin,MWC,"$85,137,810.02",$7.88,"10,807,873 MWC *"
454,Moss Coin,MOC,"$86,460,949.68",$0.2355,"367,194,689 MOC *"
455,SuperRare,RARE,"$85,358,908.09",$0.8389,"101,756,228 RARE *"
456,Hoo Token,HOO,"$85,115,468.42",$1.03,"82,430,424 HOO *"
457,DAD,DAD,"$84,693,237.43",$0.1947,"434,999,894 DAD *"
458,CertiK,CTK,"$84,955,181.89",$1.36,"62,381,108 CTK *"
459,Boson Protocol,BOSON,"$84,846,244.54",$1.28,"66,085,470 BOSON *"
460,Strong,STRONG,"$83,321,700.91",$602.61,"138,269 STRONG *"
461,DODO,DODO,"$82,828,962.14",$0.7492,"110,551,965 DODO *"
462,KIMCHI.finance,KIMCHI,"$82,490,721.43",$0.02905,"2,839,483,350 KIMCHI *"
463,bZx Protocol,BZRX,"$82,126,597.88",$0.2154,"381,318,821 BZRX *"
464,HUNT,HUNT,"$82,605,367.88",$0.7485,"110,357,399 HUNT *"
465,BarnBridge,BOND,"$82,089,113.81",$15.46,"5,308,283 BOND *"
466,Aergo,AERGO,"$81,976,966.68",$0.2267,"361,662,199 AERGO *"
467,MiL.k,MLK,"$82,552,915.46",$1.06,"78,160,812 MLK *"
468,Shapeshift FOX Token,FOX,"$81,884,016.37",$0.4635,"176,682,735 FOX *"
469,Komodo,KMD,"$81,959,601.59",$0.632,"129,692,955 KMD"
470,Chimpion,BNANA,"$80,342,250.87",$2.53,"31,727,387 BNANA *"
471,Hifi Finance,MFT,"$80,876,429.88",$0.008088,"10,000,000,000 MFT *"
472,Contentos,COS,"$80,390,718.00",$0.02219,"3,622,793,081 COS *"
473,ssv.network,SSV,"$79,767,967.21",$7.98,"10,000,000 SSV *"
474,ONUS,ONUS,"$80,024,933.14",$0.805,"99,408,990 ONUS *"
475,Rai Reflex Index,RAI,"$79,583,399.96",$3.04,"26,212,194 RAI *"
476,Ampleforth Governance Token,FORTH,"$78,855,508.81",$7.85,"10,042,409 FORTH *"
477,Thunder Token,TT,"$79,481,323.54",$0.009716,"8,180,337,300 TT *"
478,Cortex,CTXC,"$78,482,840.26",$0.4153,"188,968,503 CTXC"
479,Sentinel,DVPN,"$77,505,523.97",$0.01185,"6,539,251,520 DVPN *"
480,TROY,TROY,"$77,653,346.37",$0.00872,"8,905,660,523 TROY *"
481,TokenPocket,TPT,"$77,027,023.41",$0.02222,"3,466,457,400 TPT *"
482,Elitium,EUM,"$76,901,380.62",$2.76,"27,898,118 EUM *"
483,KeeperDAO,ROOK,"$76,931,539.01",$124.56,"617,636 ROOK *"
484,Litentry,LIT,"$76,658,673.89",$2.47,"31,014,049 LIT *"
485,Streamr,DATA,"$76,867,040.62",$0.1002,"767,121,867 DATA *"
486,Grid+,GRID,"$76,079,416.23",$1.94,"39,236,491 GRID *"
487,Offshift,XFT,"$78,114,005.72",$17.46,"4,475,000 XFT *"
488,Loom Network,LOOM,"$76,071,389.30",$0.07607,"1,000,000,000 LOOM *"
489,Rarible,RARI,"$75,779,955.30",$13.72,"5,523,853 RARI *"
490,Travala.com,AVA,"$75,642,031.66",$1.49,"50,647,737 AVA *"
491,Morpheus.Network,MNW,"$76,107,680.78",$1.61,"47,180,014 MNW *"
492,GuildFi,GF,"$73,702,928.73",$1.75,"42,185,072 GF *"
493,Carry,CRE,"$74,327,548.60",$0.008468,"8,777,454,129 CRE *"
494,DeFi Land,DFL,"$74,465,452.06",$0.127,"586,335,000 DFL *"
495,MonaCoin,MONA,"$74,152,942.75",$1.13,"65,729,675 MONA"
496,cVault.finance,CORE,"$73,829,884.58","$7,382.99","10,000 CORE *"
497,GMT Token,GMT,"$73,873,185.33",$0.3111,"237,481,513 GMT *"
498,Shiden Network,SDN,"$73,887,335.21",$1.44,"51,344,590 SDN *"
499,Cocos-BCX,COCOS,"$73,170,989.37",$1.74,"42,015,868 COCOS *"
500,Saito,SAITO,"$73,641,478.72",$0.06912,"1,065,408,547 SAITO *"
501,Lido DAO Token,LDO,"$72,725,787.66",$2.96,"24,539,273 LDO *"
502,MARINADE STAKED SOL,MSOL,"$71,736,594.01",$144.05,"498,000 MSOL *"
503,Freeway Token,FWT,"$71,711,669.96",$0.01314,"5,455,459,241 FWT *"
504,BinaryX,BNX,"$71,371,489.50",$35.28,"2,022,898 BNX *"
505,Alpaca Finance,ALPACA,"$70,483,863.08",$0.4978,"141,603,872 ALPACA *"
506,Karura,KAR,"$70,107,937.12",$3.15,"22,282,782 KAR *"
507,Unifty,NIF,"$69,983,157.23",$43.25,"1,618,066 NIF *"
508,Liquity,LQTY,"$69,430,015.04",$4.82,"14,407,731 LQTY *"
509,DIA,DIA,"$69,353,807.93",$1.15,"60,074,878 DIA *"
510,Shyft Network,SHFT,"$68,942,685.15",$0.4805,"143,478,597 SHFT *"
511,Kleros,PNK,"$69,217,990.90",$0.1118,"619,348,297 PNK *"
